season_day,dteday,hour,casual_hour,registered_hour,count_hour,count_day,time_group
springer,2011-01-07,14,7,43,50,1510,13:00 - 14:59
springer,2011-01-07,15,9,63,72,1510,15:00 - 16:59
springer,2011-01-07,16,5,82,87,1510,15:00 - 16:59
springer,2011-01-07,17,9,178,187,1510,17:00 - 18:59
springer,2011-01-07,18,7,116,123,1510,17:00 - 18:59
springer,2011-01-07,19,3,92,95,1510,19:00 - 20:59
springer,2011-01-07,20,1,50,51,1510,19:00 - 20:59
springer,2011-01-07,21,0,39,39,1510,21:00 - 22:59
springer,2011-01-07,22,2,34,36,1510,21:00 - 22:59
springer,2011-01-07,23,1,14,15,1510,23:00 - 24:59
springer,2011-01-08,0,1,24,25,959,
springer,2011-01-08,1,1,15,16,959,01:00 - 02:59
springer,2011-01-08,2,3,13,16,959,01:00 - 02:59
springer,2011-01-08,3,0,7,7,959,03:00 - 04:59
springer,2011-01-08,4,0,1,1,959,03:00 - 04:59
springer,2011-01-08,5,0,5,5,959,05:00 - 06:59
springer,2011-01-08,6,0,2,2,959,05:00 - 06:59
springer,2011-01-08,7,1,8,9,959,07:00 - 08:59
springer,2011-01-08,8,0,15,15,959,07:00 - 08:59
springer,2011-01-08,9,0,20,20,959,09:00 - 10:59
springer,2011-01-08,10,5,56,61,959,09:00 - 10:59
springer,2011-01-08,11,2,60,62,959,11:00 - 12:59
springer,2011-01-08,12,8,90,98,959,11:00 - 12:59
springer,2011-01-08,13,7,95,102,959,13:00 - 14:59
springer,2011-01-08,14,12,83,95,959,13:00 - 14:59
springer,2011-01-08,15,5,69,74,959,15:00 - 16:59
springer,2011-01-08,16,8,68,76,959,15:00 - 16:59
springer,2011-01-08,17,5,64,69,959,17:00 - 18:59
springer,2011-01-08,18,3,52,55,959,17:00 - 18:59
springer,2011-01-08,19,4,26,30,959,19:00 - 20:59
springer,2011-01-08,20,0,28,28,959,19:00 - 20:59
springer,2011-01-08,21,2,35,37,959,21:00 - 22:59
springer,2011-01-08,22,1,33,34,959,21:00 - 22:59
springer,2011-01-08,23,0,22,22,959,23:00 - 24:59
springer,2011-01-09,0,1,24,25,822,
springer,2011-01-09,1,0,12,12,822,01:00 - 02:59
springer,2011-01-09,2,0,11,11,822,01:00 - 02:59
springer,2011-01-09,3,0,4,4,822,03:00 - 04:59
springer,2011-01-09,4,0,1,1,822,03:00 - 04:59
springer,2011-01-09,5,0,1,1,822,05:00 - 06:59
springer,2011-01-09,6,0,1,1,822,05:00 - 06:59
springer,2011-01-09,7,1,5,6,822,07:00 - 08:59
springer,2011-01-09,8,0,10,10,822,07:00 - 08:59
springer,2011-01-09,9,0,19,19,822,09:00 - 10:59
springer,2011-01-09,10,0,49,49,822,09:00 - 10:59
springer,2011-01-09,11,2,47,49,822,11:00 - 12:59
springer,2011-01-09,12,4,79,83,822,11:00 - 12:59
springer,2011-01-09,13,6,69,75,822,13:00 - 14:59
springer,2011-01-09,14,8,64,72,822,13:00 - 14:59
springer,2011-01-09,15,5,77,82,822,15:00 - 16:59
springer,2011-01-09,16,13,79,92,822,15:00 - 16:59
springer,2011-01-09,17,3,59,62,822,17:00 - 18:59
springer,2011-01-09,18,4,44,48,822,17:00 - 18:59
springer,2011-01-09,19,1,40,41,822,19:00 - 20:59
springer,2011-01-09,20,0,38,38,822,19:00 - 20:59
springer,2011-01-09,21,1,19,20,822,21:00 - 22:59
springer,2011-01-09,22,5,10,15,822,21:00 - 22:59
springer,2011-01-09,23,0,6,6,822,23:00 - 24:59
springer,2011-01-10,0,2,3,5,1321,
springer,2011-01-10,1,1,0,1,1321,01:00 - 02:59
springer,2011-01-10,2,0,3,3,1321,01:00 - 02:59
springer,2011-01-10,3,0,1,1,1321,03:00 - 04:59
springer,2011-01-10,4,1,2,3,1321,03:00 - 04:59
springer,2011-01-10,5,0,3,3,1321,05:00 - 06:59
springer,2011-01-10,6,0,31,31,1321,05:00 - 06:59
springer,2011-01-10,7,2,75,77,1321,07:00 - 08:59
springer,2011-01-10,8,4,184,188,1321,07:00 - 08:59
springer,2011-01-10,9,2,92,94,1321,09:00 - 10:59
springer,2011-01-10,10,0,31,31,1321,09:00 - 10:59
springer,2011-01-10,11,2,28,30,1321,11:00 - 12:59
springer,2011-01-10,12,5,47,52,1321,11:00 - 12:59
springer,2011-01-10,13,4,50,54,1321,13:00 - 14:59
springer,2011-01-10,14,0,47,47,1321,13:00 - 14:59
springer,2011-01-10,15,2,43,45,1321,15:00 - 16:59
springer,2011-01-10,16,4,70,74,1321,15:00 - 16:59
springer,2011-01-10,17,4,174,178,1321,17:00 - 18:59
springer,2011-01-10,18,1,154,155,1321,17:00 - 18:59
springer,2011-01-10,19,3,92,95,1321,19:00 - 20:59
springer,2011-01-10,20,1,73,74,1321,19:00 - 20:59
springer,2011-01-10,21,1,37,38,1321,21:00 - 22:59
springer,2011-01-10,22,2,22,24,1321,21:00 - 22:59
springer,2011-01-10,23,0,18,18,1321,23:00 - 24:59
springer,2011-01-11,0,2,10,12,1263,
springer,2011-01-11,1,0,3,3,1263,01:00 - 02:59
springer,2011-01-11,2,0,3,3,1263,01:00 - 02:59
springer,2011-01-11,5,0,6,6,1263,05:00 - 06:59
springer,2011-01-11,6,0,27,27,1263,05:00 - 06:59
springer,2011-01-11,7,2,97,99,1263,07:00 - 08:59
springer,2011-01-11,8,3,214,217,1263,07:00 - 08:59
springer,2011-01-11,9,3,127,130,1263,09:00 - 10:59
springer,2011-01-11,10,3,51,54,1263,09:00 - 10:59
springer,2011-01-11,11,4,31,35,1263,11:00 - 12:59
springer,2011-01-11,12,2,55,57,1263,11:00 - 12:59
springer,2011-01-11,13,6,46,52,1263,13:00 - 14:59
springer,2011-01-11,14,3,60,63,1263,13:00 - 14:59
springer,2011-01-11,15,2,45,47,1263,15:00 - 16:59
springer,2011-01-11,16,4,72,76,1263,15:00 - 16:59
springer,2011-01-11,17,6,130,136,1263,17:00 - 18:59
springer,2011-01-11,18,1,94,95,1263,17:00 - 18:59
springer,2011-01-11,19,0,51,51,1263,19:00 - 20:59
springer,2011-01-11,20,0,32,32,1263,19:00 - 20:59
springer,2011-01-11,21,0,20,20,1263,21:00 - 22:59
springer,2011-01-11,22,1,28,29,1263,21:00 - 22:59
springer,2011-01-11,23,1,18,19,1263,23:00 - 24:59
springer,2011-01-12,0,0,7,7,1162,
springer,2011-01-12,1,0,6,6,1162,01:00 - 02:59
springer,2011-01-12,2,0,1,1,1162,01:00 - 02:59
springer,2011-01-12,5,0,5,5,1162,05:00 - 06:59
springer,2011-01-12,6,0,16,16,1162,05:00 - 06:59
springer,2011-01-12,7,0,54,54,1162,07:00 - 08:59
springer,2011-01-12,8,3,125,128,1162,07:00 - 08:59
springer,2011-01-12,9,3,78,81,1162,09:00 - 10:59
springer,2011-01-12,10,0,39,39,1162,09:00 - 10:59
springer,2011-01-12,11,3,32,35,1162,11:00 - 12:59
springer,2011-01-12,12,3,52,55,1162,11:00 - 12:59
springer,2011-01-12,13,0,49,49,1162,13:00 - 14:59
springer,2011-01-12,14,0,44,44,1162,13:00 - 14:59
springer,2011-01-12,15,1,48,49,1162,15:00 - 16:59
springer,2011-01-12,16,5,63,68,1162,15:00 - 16:59
springer,2011-01-12,17,0,139,139,1162,17:00 - 18:59
springer,2011-01-12,18,2,135,137,1162,17:00 - 18:59
springer,2011-01-12,19,1,82,83,1162,19:00 - 20:59
springer,2011-01-12,20,2,54,56,1162,19:00 - 20:59
springer,2011-01-12,21,0,57,57,1162,21:00 - 22:59
springer,2011-01-12,22,1,32,33,1162,21:00 - 22:59
springer,2011-01-12,23,1,19,20,1162,23:00 - 24:59
springer,2011-01-13,0,1,6,7,1406,
springer,2011-01-13,1,0,2,2,1406,01:00 - 02:59
springer,2011-01-13,2,0,2,2,1406,01:00 - 02:59
springer,2011-01-13,3,0,3,3,1406,03:00 - 04:59
springer,2011-01-13,4,0,4,4,1406,03:00 - 04:59
springer,2011-01-13,5,0,3,3,1406,05:00 - 06:59
springer,2011-01-13,6,0,28,28,1406,05:00 - 06:59
springer,2011-01-13,7,0,72,72,1406,07:00 - 08:59
springer,2011-01-13,8,5,197,202,1406,07:00 - 08:59
springer,2011-01-13,9,2,137,139,1406,09:00 - 10:59
springer,2011-01-13,10,2,36,38,1406,09:00 - 10:59
springer,2011-01-13,11,4,33,37,1406,11:00 - 12:59
springer,2011-01-13,12,3,49,52,1406,11:00 - 12:59
springer,2011-01-13,13,2,81,83,1406,13:00 - 14:59
springer,2011-01-13,14,3,39,42,1406,13:00 - 14:59
springer,2011-01-13,15,5,55,60,1406,15:00 - 16:59
springer,2011-01-13,16,2,76,78,1406,15:00 - 16:59
springer,2011-01-13,17,4,158,162,1406,17:00 - 18:59
springer,2011-01-13,18,3,141,144,1406,17:00 - 18:59
springer,2011-01-13,19,1,98,99,1406,19:00 - 20:59
springer,2011-01-13,20,0,64,64,1406,19:00 - 20:59
springer,2011-01-13,21,0,40,40,1406,21:00 - 22:59
springer,2011-01-13,22,0,30,30,1406,21:00 - 22:59
springer,2011-01-13,23,1,14,15,1406,23:00 - 24:59
springer,2011-01-14,0,0,14,14,1421,
springer,2011-01-14,1,0,5,5,1421,01:00 - 02:59
springer,2011-01-14,2,0,1,1,1421,01:00 - 02:59
springer,2011-01-14,3,0,1,1,1421,03:00 - 04:59
springer,2011-01-14,5,0,8,8,1421,05:00 - 06:59
springer,2011-01-14,6,0,17,17,1421,05:00 - 06:59
springer,2011-01-14,7,0,70,70,1421,07:00 - 08:59
springer,2011-01-14,8,2,156,158,1421,07:00 - 08:59
springer,2011-01-14,9,0,117,117,1421,09:00 - 10:59
springer,2011-01-14,10,4,40,44,1421,09:00 - 10:59
springer,2011-01-14,11,6,47,53,1421,11:00 - 12:59
springer,2011-01-14,12,2,59,61,1421,11:00 - 12:59
springer,2011-01-14,13,4,73,77,1421,13:00 - 14:59
springer,2011-01-14,14,5,59,64,1421,13:00 - 14:59
springer,2011-01-14,15,9,59,68,1421,15:00 - 16:59
springer,2011-01-14,16,3,87,90,1421,15:00 - 16:59
springer,2011-01-14,17,4,155,159,1421,17:00 - 18:59
springer,2011-01-14,18,5,134,139,1421,17:00 - 18:59
springer,2011-01-14,19,3,89,92,1421,19:00 - 20:59
springer,2011-01-14,20,0,68,68,1421,19:00 - 20:59
springer,2011-01-14,21,4,48,52,1421,21:00 - 22:59
springer,2011-01-14,22,2,34,36,1421,21:00 - 22:59
springer,2011-01-14,23,1,26,27,1421,23:00 - 24:59
springer,2011-01-15,0,3,25,28,1248,
springer,2011-01-15,1,2,18,20,1248,01:00 - 02:59
springer,2011-01-15,2,0,12,12,1248,01:00 - 02:59
springer,2011-01-15,3,1,7,8,1248,03:00 - 04:59
springer,2011-01-15,4,0,5,5,1248,03:00 - 04:59
springer,2011-01-15,5,0,1,1,1248,05:00 - 06:59
springer,2011-01-15,6,1,2,3,1248,05:00 - 06:59
springer,2011-01-15,7,1,9,10,1248,07:00 - 08:59
springer,2011-01-15,8,1,22,23,1248,07:00 - 08:59
springer,2011-01-15,9,2,31,33,1248,09:00 - 10:59
springer,2011-01-15,10,2,57,59,1248,09:00 - 10:59
springer,2011-01-15,11,18,54,72,1248,11:00 - 12:59
springer,2011-01-15,12,15,74,89,1248,11:00 - 12:59
springer,2011-01-15,13,21,80,101,1248,13:00 - 14:59
springer,2011-01-15,14,26,92,118,1248,13:00 - 14:59
springer,2011-01-15,15,21,108,129,1248,15:00 - 16:59
springer,2011-01-15,16,33,95,128,1248,15:00 - 16:59
springer,2011-01-15,17,29,54,83,1248,17:00 - 18:59
springer,2011-01-15,18,15,69,84,1248,17:00 - 18:59
springer,2011-01-15,19,14,60,74,1248,19:00 - 20:59
springer,2011-01-15,20,6,35,41,1248,19:00 - 20:59
springer,2011-01-15,21,6,51,57,1248,21:00 - 22:59
springer,2011-01-15,22,0,26,26,1248,21:00 - 22:59
springer,2011-01-15,23,5,39,44,1248,23:00 - 24:59
springer,2011-01-16,0,6,33,39,1204,
springer,2011-01-16,1,4,19,23,1204,01:00 - 02:59
springer,2011-01-16,2,3,13,16,1204,01:00 - 02:59
springer,2011-01-16,3,9,6,15,1204,03:00 - 04:59
springer,2011-01-16,4,0,1,1,1204,03:00 - 04:59
springer,2011-01-16,5,1,1,2,1204,05:00 - 06:59
springer,2011-01-16,6,0,1,1,1204,05:00 - 06:59
springer,2011-01-16,7,0,3,3,1204,07:00 - 08:59
springer,2011-01-16,8,0,18,18,1204,07:00 - 08:59
springer,2011-01-16,9,3,29,32,1204,09:00 - 10:59
springer,2011-01-16,10,8,71,79,1204,09:00 - 10:59
springer,2011-01-16,11,23,70,93,1204,11:00 - 12:59
springer,2011-01-16,12,29,75,104,1204,11:00 - 12:59
springer,2011-01-16,13,23,95,118,1204,13:00 - 14:59
springer,2011-01-16,14,22,69,91,1204,13:00 - 14:59
springer,2011-01-16,15,35,78,113,1204,15:00 - 16:59
springer,2011-01-16,16,22,77,99,1204,15:00 - 16:59
springer,2011-01-16,17,23,82,105,1204,17:00 - 18:59
springer,2011-01-16,18,11,56,67,1204,17:00 - 18:59
springer,2011-01-16,19,14,47,61,1204,19:00 - 20:59
springer,2011-01-16,20,7,50,57,1204,19:00 - 20:59
springer,2011-01-16,21,6,22,28,1204,21:00 - 22:59
springer,2011-01-16,22,2,19,21,1204,21:00 - 22:59
springer,2011-01-16,23,0,18,18,1204,23:00 - 24:59
springer,2011-01-17,0,1,16,17,1000,
springer,2011-01-17,1,1,15,16,1000,01:00 - 02:59
springer,2011-01-17,2,0,8,8,1000,01:00 - 02:59
springer,2011-01-17,3,0,2,2,1000,03:00 - 04:59
springer,2011-01-17,4,1,2,3,1000,03:00 - 04:59
springer,2011-01-17,5,0,1,1,1000,05:00 - 06:59
springer,2011-01-17,6,0,5,5,1000,05:00 - 06:59
springer,2011-01-17,7,4,9,13,1000,07:00 - 08:59
springer,2011-01-17,8,3,30,33,1000,07:00 - 08:59
springer,2011-01-17,9,8,39,47,1000,09:00 - 10:59
springer,2011-01-17,10,7,50,57,1000,09:00 - 10:59
springer,2011-01-17,11,9,55,64,1000,11:00 - 12:59
springer,2011-01-17,12,10,70,80,1000,11:00 - 12:59
springer,2011-01-17,13,13,80,93,1000,13:00 - 14:59
springer,2011-01-17,14,12,74,86,1000,13:00 - 14:59
springer,2011-01-17,15,21,72,93,1000,15:00 - 16:59
springer,2011-01-17,16,6,76,82,1000,15:00 - 16:59
springer,2011-01-17,17,4,67,71,1000,17:00 - 18:59
springer,2011-01-17,18,7,85,92,1000,17:00 - 18:59
springer,2011-01-17,19,2,58,60,1000,19:00 - 20:59
springer,2011-01-17,20,4,29,33,1000,19:00 - 20:59
springer,2011-01-17,21,3,24,27,1000,21:00 - 22:59
springer,2011-01-17,22,0,13,13,1000,21:00 - 22:59
springer,2011-01-17,23,1,3,4,1000,23:00 - 24:59
springer,2011-01-18,12,0,3,3,683,11:00 - 12:59
springer,2011-01-18,13,0,22,22,683,13:00 - 14:59
springer,2011-01-18,14,2,26,28,683,13:00 - 14:59
springer,2011-01-18,15,3,32,35,683,15:00 - 16:59
springer,2011-01-18,16,0,61,61,683,15:00 - 16:59
springer,2011-01-18,17,1,124,125,683,17:00 - 18:59
springer,2011-01-18,18,1,132,133,683,17:00 - 18:59
springer,2011-01-18,19,1,98,99,683,19:00 - 20:59
springer,2011-01-18,20,0,83,83,683,19:00 - 20:59
springer,2011-01-18,21,0,41,41,683,21:00 - 22:59
springer,2011-01-18,22,0,33,33,683,21:00 - 22:59
springer,2011-01-18,23,1,19,20,683,23:00 - 24:59
springer,2011-01-19,0,0,3,3,1650,
springer,2011-01-19,1,1,6,7,1650,01:00 - 02:59
springer,2011-01-19,2,0,3,3,1650,01:00 - 02:59
springer,2011-01-19,4,1,1,2,1650,03:00 - 04:59
springer,2011-01-19,5,0,7,7,1650,05:00 - 06:59
springer,2011-01-19,6,0,32,32,1650,05:00 - 06:59
springer,2011-01-19,7,1,89,90,1650,07:00 - 08:59
springer,2011-01-19,8,1,196,197,1650,07:00 - 08:59
springer,2011-01-19,9,2,107,109,1650,09:00 - 10:59
springer,2011-01-19,10,1,46,47,1650,09:00 - 10:59
springer,2011-01-19,11,5,47,52,1650,11:00 - 12:59
springer,2011-01-19,12,5,65,70,1650,11:00 - 12:59
springer,2011-01-19,13,11,67,78,1650,13:00 - 14:59
springer,2011-01-19,14,7,68,75,1650,13:00 - 14:59
springer,2011-01-19,15,4,78,82,1650,15:00 - 16:59
springer,2011-01-19,16,10,94,104,1650,15:00 - 16:59
springer,2011-01-19,17,7,190,197,1650,17:00 - 18:59
springer,2011-01-19,18,5,156,161,1650,17:00 - 18:59
springer,2011-01-19,19,4,108,112,1650,19:00 - 20:59
springer,2011-01-19,20,2,74,76,1650,19:00 - 20:59
springer,2011-01-19,21,4,55,59,1650,21:00 - 22:59
springer,2011-01-19,22,6,53,59,1650,21:00 - 22:59
springer,2011-01-19,23,1,27,28,1650,23:00 - 24:59
springer,2011-01-20,0,5,8,13,1927,
springer,2011-01-20,1,2,3,5,1927,01:00 - 02:59
springer,2011-01-20,2,0,2,2,1927,01:00 - 02:59
springer,2011-01-20,3,0,1,1,1927,03:00 - 04:59
springer,2011-01-20,4,0,1,1,1927,03:00 - 04:59
springer,2011-01-20,5,0,6,6,1927,05:00 - 06:59
springer,2011-01-20,6,0,35,35,1927,05:00 - 06:59
springer,2011-01-20,7,1,100,101,1927,07:00 - 08:59
springer,2011-01-20,8,2,247,249,1927,07:00 - 08:59
springer,2011-01-20,9,3,140,143,1927,09:00 - 10:59
springer,2011-01-20,10,1,56,57,1927,09:00 - 10:59
springer,2011-01-20,11,5,63,68,1927,11:00 - 12:59
springer,2011-01-20,12,7,77,84,1927,11:00 - 12:59
springer,2011-01-20,13,12,86,98,1927,13:00 - 14:59
springer,2011-01-20,14,6,75,81,1927,13:00 - 14:59
springer,2011-01-20,15,8,62,70,1927,15:00 - 16:59
springer,2011-01-20,16,8,83,91,1927,15:00 - 16:59
springer,2011-01-20,17,8,207,215,1927,17:00 - 18:59
springer,2011-01-20,18,1,184,185,1927,17:00 - 18:59
springer,2011-01-20,19,6,146,152,1927,19:00 - 20:59
springer,2011-01-20,20,2,124,126,1927,19:00 - 20:59
springer,2011-01-20,21,3,54,57,1927,21:00 - 22:59
springer,2011-01-20,22,0,56,56,1927,21:00 - 22:59
springer,2011-01-20,23,3,28,31,1927,23:00 - 24:59
springer,2011-01-21,0,1,20,21,1543,
springer,2011-01-21,1,0,6,6,1543,01:00 - 02:59
springer,2011-01-21,2,0,2,2,1543,01:00 - 02:59
